=== QUERY 1: TABLE ===
opname		count

filteri		1
abs		1
zero		1
succ		1
tt		1
ff		1
emptyList		1
cons		1
app		1
let		1
pred		1
isZero		1
if		1
head		1
tail		1
fix		1
letrec		1
myerror		1



=== QUERY 2: TABLE ===
val		type

cons		list
emptyList		list
ff		bool
tt		bool
succ		int
zero		int
abs		arrow



=== QUERY 3: TABLE ===
opname

filteri
filteri
app
pred
pred
isZero
isZero
if
if
head
head
tail
tail



=== QUERY 4: EMPTY TABLE ===



=== QUERY 5: EMPTY TABLE ===



=== QUERY 6: EMPTY TABLE ===



=== QUERY 7: TABLE ===
rulename		predname		args		role
rule5		typeOf		[Gamma ; (zero) ; (int)]		CONCL
rule4		typeOf		[(gammaAddx T1) ; R ; T2]		PREM
rule4		typeOf		[Gamma ; (abs T1 R) ; (arrow T1 T2)]		CONCL
rule3		step		[(filteri (cons V1 V2) V3 V4) ; (if (app (app V3 V4) V1) (cons V1 (filteri V2 V3 (succ V4))) (filteri V2 V3 (succ V4)))]		CONCL
rule2		step		[(filteri (emptyList) V1 V2) ; (emptyList)]		CONCL
rule1		typeOf		[Gamma ; E3 ; (int)]		PREM
rule1		typeOf		[Gamma ; E2 ; (arrow (int) (arrow T (bool)))]		PREM
rule1		typeOf		[Gamma ; E1 ; (list T)]		PREM
rule1		typeOf		[Gamma ; (filteri E1 E2 E3) ; (list T)]		CONCL
filteri0		value		[E0]		PREM
filteri0		value		[E1]		PREM
filteri1		value		[E0]		PREM
app10		value		[E0]		PREM
cons12		value		[E0]		PREM
filteri0		step		[E2 ; E2']		PREM
filteri1		step		[E1 ; E1']		PREM
filteri2		step		[E0 ; E0']		PREM
fix3		step		[E0 ; E0']		PREM
let4		step		[E0 ; E0']		PREM
tail5		step		[E0 ; E0']		PREM
head6		step		[E0 ; E0']		PREM
if7		step		[E0 ; E0']		PREM
isZero8		step		[E0 ; E0']		PREM
pred9		step		[E0 ; E0']		PREM
app10		step		[E1 ; E1']		PREM
app11		step		[E0 ; E0']		PREM
cons12		step		[E1 ; E1']		PREM
cons13		step		[E0 ; E0']		PREM
succ14		step		[E0 ; E0']		PREM
filteri0		step		[(filteri E0 E1 E2) ; (filteri E0 E1 E2')]		CONCL
filteri1		step		[(filteri E0 E1 E2) ; (filteri E0 E1' E2)]		CONCL
filteri2		step		[(filteri E0 E1 E2) ; (filteri E0' E1 E2)]		CONCL
fix3		step		[(fix E0) ; (fix E0')]		CONCL
let4		step		[(let E0 (x)E1) ; (let E0' (x)E1)]		CONCL
tail5		step		[(tail E0) ; (tail E0')]		CONCL
head6		step		[(head E0) ; (head E0')]		CONCL
if7		step		[(if E0 E1 E2) ; (if E0' E1 E2)]		CONCL
isZero8		step		[(isZero E0) ; (isZero E0')]		CONCL
pred9		step		[(pred E0) ; (pred E0')]		CONCL
app10		step		[(app E0 E1) ; (app E0 E1')]		CONCL
app11		step		[(app E0 E1) ; (app E0' E1)]		CONCL
cons12		step		[(cons E0 E1) ; (cons E0 E1')]		CONCL
cons13		step		[(cons E0 E1) ; (cons E0' E1)]		CONCL
succ14		step		[(succ E0) ; (succ E0')]		CONCL



=== QUERY 8: TABLE ===
opname

list
arrow
arrow



=== QUERY 9: TABLE ===
err		r		var		var-number

myerror		rule34		T		0

