=== QUERY 1: TABLE ===
opname		count

length		1
abs		1
zero		1
succ		1
tt		1
ff		1
emptyList		1
cons		1
app		1
let		1
pred		1
isZero		1
if		1
head		1
tail		1
fix		1
letrec		1
myerror		1



=== QUERY 2: TABLE ===
val		type

cons		list
emptyList		list
ff		bool
tt		bool
succ		int
zero		int
abs		arrow



=== QUERY 3: TABLE ===
opname

length
length
app
pred
pred
isZero
isZero
if
if
head
head
tail
tail



=== QUERY 4: EMPTY TABLE ===



=== QUERY 5: EMPTY TABLE ===



=== QUERY 6: EMPTY TABLE ===



=== QUERY 7: TABLE ===
rulename		predname		args		role
rule5		typeOf		[Gamma ; (zero) ; (int)]		CONCL
rule4		typeOf		[(gammaAddx T1) ; R ; T2]		PREM
rule4		typeOf		[Gamma ; (abs T1 R) ; (arrow T1 T2)]		CONCL
rule3		step		[(length (cons V1 V2)) ; (succ (length V2))]		CONCL
rule2		step		[(length (emptyList)) ; (zero)]		CONCL
rule1		typeOf		[Gamma ; E ; (list T)]		PREM
rule1		typeOf		[Gamma ; (length E) ; (int)]		CONCL
app8		value		[E0]		PREM
cons10		value		[E0]		PREM
length0		step		[E0 ; E0']		PREM
fix1		step		[E0 ; E0']		PREM
let2		step		[E0 ; E0']		PREM
tail3		step		[E0 ; E0']		PREM
head4		step		[E0 ; E0']		PREM
if5		step		[E0 ; E0']		PREM
isZero6		step		[E0 ; E0']		PREM
pred7		step		[E0 ; E0']		PREM
app8		step		[E1 ; E1']		PREM
app9		step		[E0 ; E0']		PREM
cons10		step		[E1 ; E1']		PREM
cons11		step		[E0 ; E0']		PREM
succ12		step		[E0 ; E0']		PREM
length0		step		[(length E0) ; (length E0')]		CONCL
fix1		step		[(fix E0) ; (fix E0')]		CONCL
let2		step		[(let E0 (x)E1) ; (let E0' (x)E1)]		CONCL
tail3		step		[(tail E0) ; (tail E0')]		CONCL
head4		step		[(head E0) ; (head E0')]		CONCL
if5		step		[(if E0 E1 E2) ; (if E0' E1 E2)]		CONCL
isZero6		step		[(isZero E0) ; (isZero E0')]		CONCL
pred7		step		[(pred E0) ; (pred E0')]		CONCL
app8		step		[(app E0 E1) ; (app E0 E1')]		CONCL
app9		step		[(app E0 E1) ; (app E0' E1)]		CONCL
cons10		step		[(cons E0 E1) ; (cons E0 E1')]		CONCL
cons11		step		[(cons E0 E1) ; (cons E0' E1)]		CONCL
succ12		step		[(succ E0) ; (succ E0')]		CONCL



=== QUERY 8: TABLE ===
opname

list
arrow
arrow



=== QUERY 9: TABLE ===
err		r		var		var-number

myerror		rule34		T		0

